class,race_id,win_order,name,ts,stamina,sprinting,jockey,run_speed,intel,cooperation,acceleration,course_length
c,60,3,JAMES,86,559,1,1,1704,100,100,50,0
c,60,1,EDWARD,85,509,0,3,1795,50,100,50,0
c,60,5,DAN,81,554,0,2,1723,100,100,50,0
c,60,2,GEORGE,87,507,0,3,1744,50,100,50,0
c,60,0,NANCY,83,539,1,1,1744,50,100,50,0
c,61,3,JENNY,82,528,1,0,1862,50,100,50,0
c,61,0,ROBER,79,511,1,1,1749,100,100,50,0
c,61,4,TERRY,80,532,0,3,1866,50,100,50,0
c,61,2,SEAN,83,502,0,1,1781,50,100,50,0
c,61,5,JOEL,76,512,0,2,1783,100,100,50,0
c,61,1,TIM,86,544,0,0,1725,50,100,50,0
c,62,2,YOUNG,75,507,0,3,1781,100,100,50,0
c,62,0,RICA,86,553,0,1,1832,100,100,50,0
c,62,3,BLUES,78,526,0,1,1863,50,100,50,0
c,62,4,SAMMY,74,521,0,2,1891,100,100,50,0
c,62,5,LE,87,540,0,2,1815,50,100,50,0
c,62,1,PAU,75,522,0,1,1804,100,100,50,0
c,63,2,DARIO,74,552,1,1,1889,50,100,50,0
c,63,5,NANCY,80,513,0,2,1838,50,100,50,0
c,63,3,LIA,85,546,0,0,1820,100,100,50,0
c,63,1,JENNY,87,550,0,0,1734,50,100,50,0
c,63,0,LY,78,527,0,1,1837,100,100,50,0
c,63,4,PETER,74,528,0,1,1773,100,100,50,0
c,64,5,ANDY,80,533,0,2,1868,50,100,50,0
c,64,4,YOUNG,79,547,0,2,1809,100,100,50,0
c,64,3,ELEN,80,536,0,2,1750,50,100,50,0
c,64,2,PAU,74,521,0,2,1885,100,100,50,0
c,64,1,JENNY,76,527,0,0,1897,50,100,50,0
c,64,0,JOHN,75,543,1,1,1835,100,100,50,0
c,65,1,RUDY,86,544,0,1,1891,100,100,50,0
c,65,3,ANDY,79,545,0,0,1781,50,100,50,0
c,65,0,MARIE,85,516,0,3,1826,100,100,50,0
c,65,4,SAMMY,76,531,0,3,1761,100,100,50,0
c,65,2,JOHN,80,501,0,0,1831,50,100,50,0
c,65,5,ELEN,84,540,0,2,1860,50,100,50,0
c,66,0,RUDY,83,551,0,1,1853,100,100,50,0
c,66,1,GRAHAM,79,556,0,3,1763,100,100,50,0
c,66,2,KNIGHT,75,548,0,1,1738,50,100,50,0
c,66,3,SAM,77,549,0,3,1823,50,100,50,0
c,66,4,PETER,76,526,0,0,1765,100,100,50,0
c,66,5,EDWARD,75,548,0,3,1704,50,100,50,0
c,67,5,GRAHAM,85,507,0,2,1742,50,100,50,0
c,67,2,CLIVE,78,536,0,3,1798,50,100,50,0
c,67,1,MIKE,80,560,0,1,1789,50,100,50,0
c,67,3,RICA,77,552,0,2,1847,50,100,50,0
c,67,4,LY,78,508,0,2,1727,50,100,50,0
c,67,0,GREY,76,546,0,0,1750,100,100,50,0
c,68,1,BLUES,86,521,0,1,1869,50,100,50,0
c,68,4,SAM,77,524,0,3,1815,100,100,50,0
c,68,0,PAULA,79,559,0,1,1701,100,100,50,0
c,68,2,ROBER,75,531,0,3,1876,50,100,50,0
c,68,5,SAMMY,75,502,0,2,1757,100,100,50,0
c,68,3,ROBIN,81,517,1,1,1885,100,100,50,0
c,69,0,ROBIN,84,549,0,1,1738,50,100,50,0
c,69,3,CLIVE,83,518,0,2,1873,50,100,50,0
c,69,4,KNIGHT,78,545,0,2,1797,100,100,50,0
c,69,5,PAU,88,515,0,2,1867,100,100,50,0
c,69,2,DAN,75,521,0,3,1812,50,100,50,0
c,69,1,TOM,81,508,0,1,1763,100,100,50,0
c,70,1,TIM,77,510,0,1,1825,100,100,50,0
c,70,2,ARL,85,554,0,3,1719,50,100,50,0
c,70,3,FOX,88,535,0,0,1711,100,100,50,0
c,70,5,ANDY,82,508,0,2,1793,100,100,50,0
c,70,4,DAN,81,544,0,3,1859,100,100,50,0
c,70,0,PAU,86,533,0,3,1798,100,100,50,0
c,71,0,AIMEE,79,517,1,3,1768,50,100,50,0
c,71,2,PAU,75,550,1,0,1774,50,100,50,0
c,71,3,JOHN,82,513,0,2,1897,50,100,50,0
c,71,1,DAN,79,506,0,0,1818,50,100,50,0
c,71,4,FOX,88,536,0,2,1740,50,100,50,0
c,71,5,SAM,74,518,0,2,1754,100,100,50,0
c,72,0,ARL,83,534,0,0,1882,50,100,50,0
c,72,1,TOM,86,546,1,0,1872,50,100,50,0
c,72,5,EDWARD,78,539,0,2,1789,50,100,50,0
c,72,3,TERRY,81,554,0,3,1750,50,100,50,0
c,72,4,PAULA,77,547,0,2,1885,50,100,50,0
c,72,2,RICA,77,551,0,1,1774,50,100,50,0
c,73,4,SEAN,76,555,1,2,1779,100,100,50,0
c,73,1,TOM,84,506,0,1,1829,50,100,50,0
c,73,2,AIMEE,79,529,0,1,1808,100,100,50,0
c,73,5,PAULA,81,510,0,2,1712,50,100,50,0
c,73,0,HARVEY,87,522,0,0,1840,100,100,50,0
c,73,3,DARIO,79,557,0,1,1873,100,100,50,0
c,74,1,SAMMY,75,501,0,3,1827,50,100,50,0
c,74,5,MIKE,85,509,0,2,1879,50,100,50,0
c,74,2,JU,80,517,0,3,1884,100,100,50,0
c,74,3,PAU,77,552,0,3,1851,100,100,50,0
c,74,4,DARIO,75,503,0,0,1782,50,100,50,0
c,74,0,SAM,80,532,0,3,1813,100,100,50,0
c,75,5,SARA,84,544,1,2,1861,50,100,50,0
c,75,2,GRAHAM,81,529,1,1,1704,100,100,50,0
c,75,1,JOEL,86,555,0,3,1864,50,100,50,0
c,75,4,GARY,74,536,0,1,1713,50,100,50,0
c,75,0,PAU,75,503,1,3,1880,100,100,50,0
c,75,3,MARIE,78,524,0,0,1769,50,100,50,0
c,76,4,LE,76,543,0,1,1762,50,100,50,0
c,76,1,MIKE,75,501,0,1,1859,100,100,50,0
c,76,0,SANDY,79,540,0,0,1768,100,100,50,0
c,76,2,MARIE,84,531,0,1,1835,100,100,50,0
c,76,5,NANCY,78,528,0,2,1895,50,100,50,0
c,76,3,RUDY,74,520,0,3,1898,50,100,50,0
c,77,4,PETER,80,547,0,2,1723,100,100,50,0
c,77,5,KNIGHT,79,519,0,2,1887,100,100,50,0
c,77,3,DAN,76,540,1,3,1826,50,100,50,0
c,77,0,TOM,77,500,0,0,1862,100,100,50,0
